,Mouse|12,Mouse|cycling,Mouse|immature_CD24_GD,Mouse|post_selection,Mouse|signaling,Mouse|transition,Mouse|typeI,Mouse|typeII,Mouse|typeIII,human|GDT_thymus_c0,human|GDT_thymus_c1,human|GDT_thymus_c2,human|GDT_thymus_c3,human|GDT_thymus_c4,human|GDT_thymus_c5,human|GDT_thymus_c6,human|GDT_thymus_c7,human|MAIT_thymus_c0,human|MAIT_thymus_c1,human|MAIT_thymus_c2,human|MAIT_thymus_c3,human|MAIT_thymus_c4,human|MAIT_thymus_c5,human|MAIT_thymus_c6,human|iNKT_thymus_c0,human|iNKT_thymus_c1,human|iNKT_thymus_c2,human|iNKT_thymus_c3,human|iNKT_thymus_c4,human|iNKT_thymus_c5,human|iNKT_thymus_c6
Mouse|12,0.9776311580143587,0.1406468904054224,0.718012387417267,0.8070790166102075,0.42311261718534865,0.10235471588552514,0.713747074713241,0.20331006688099879,0.5262272043100462,0.4984759277650601,0.7939951264489291,0.5532938416727564,0.44753357806952876,0.21388777545189136,0.769997082411717,0.7933698403144911,0.8038317024266503,0.5422155667187846,0.2925329563059087,0.3632894584084224,0.30132965558744246,0.3293650429846477,0.3270704771522168,0.6227059991598187,0.23588113170810807,0.16090222976612423,0.22482615338401152,0.22867560335764037,0.7035818062778232,0.7040149335379338,0.6883047833813478
Mouse|cycling,0.1406468904054224,0.9850877834711655,0.6146167064681265,0.3646934379295922,0.592361507199402,0.9261145342748722,0.11643146072275254,0.576562975878288,0.5536085349725751,0.41149536233501827,0.4548700916796816,0.8243281266968361,0.8924044451992917,0.9879622591996805,0.6719845908129773,0.4881815170953315,0.20121103627032455,0.35472697795486774,0.7527284178113072,0.4034684734356139,0.5990405841045776,0.32798270590241874,0.37851689549055667,0.28258701537781516,0.7786381080798845,0.593435404759671,0.4316070974048536,0.33494497519773564,0.41015681266210147,0.16354152149728582,0.18242469732195302
Mouse|immature_CD24_GD,0.718012387417267,0.6146167064681265,0.9952139234405157,0.884229400836309,0.6776786707777361,0.5321743559861101,0.12105011825760223,0.23715677819165387,0.5960385830106643,0.7135508648853495,0.8555169452143647,0.9409937563261306,0.7779092875124849,0.8399231832718865,0.8095566453078147,0.6224395481640261,0.20388441536404325,0.6392190710754082,0.548062612809868,0.495871739455111,0.31396782583307586,0.2758790829890933,0.28603326496882886,0.20343293011189384,0.5416439524751564,0.37775539271425723,0.21410706664341694,0.20715285525152333,0.39811612029205906,0.12244623448263142,0.16365064995792328
Mouse|post_selection,0.8070790166102075,0.3646934379295922,0.884229400836309,0.9429855353573863,0.6673413443502205,0.34913818697266663,0.34873017660747674,0.3009770091647968,0.4792932000511658,0.4892974817414822,0.8773651210890135,0.7203536983530479,0.5064656653243472,0.3899216029027078,0.7472761362722161,0.7041621758075176,0.27928361171101956,0.473037905250123,0.3058738036146855,0.4338004784406644,0.278751020691825,0.5027314073322401,0.48637826444310495,0.30218235625357925,0.30928443883320117,0.3272884885090738,0.5075296682075978,0.40617226001701134,0.5932203593909662,0.35294522108407494,0.29482955896157126
Mouse|signaling,0.42311261718534865,0.592361507199402,0.6776786707777361,0.6673413443502205,0.986640063534575,0.5140697055929049,0.24490517772664588,0.4304614095926581,0.14412571356965734,0.758870359521106,0.3989460411035343,0.5214686915706926,0.4152912512904956,0.5702111935811118,0.27383320363349295,0.15044652604658426,0.04954016703997653,0.7916915169895067,0.9076757647836677,0.8880187148545182,0.7692467098346516,0.6443478004651451,0.7047947880305128,0.14736275231902,0.8694346921169619,0.8093172414344886,0.39556296603822316,0.5850769779973415,0.10557247689131292,0.07399163661717795,0.08843867036759145
Mouse|transition,0.10235471588552514,0.9261145342748722,0.5321743559861101,0.34913818697266663,0.5140697055929049,0.9294075120614887,0.17470632645055176,0.7378210761253177,0.6217710591382521,0.2948838160390537,0.4187797156548943,0.7949746976528521,0.8914403105869775,0.9351894095411084,0.6501556828367394,0.5358963721882912,0.2965754535968615,0.24144378345549655,0.7028416379095863,0.3321223152454815,0.6536256274744721,0.34373830717108383,0.3686861073669024,0.3705707054957488,0.7471537523306864,0.6342174644313452,0.5503133744193522,0.4541776358288274,0.5458586200493836,0.26686144388993865,0.26659140351106736
Mouse|typeI,0.713747074713241,0.11643146072275254,0.12105011825760223,0.34873017660747674,0.24490517772664588,0.17470632645055176,0.9903579877254748,0.43044144714421684,0.3887768139255582,0.4090806018065193,0.3610218310969725,0.07186189787108282,0.11680624945153284,0.06223923739028109,0.30928531433828244,0.5341102595404672,0.9465423771036285,0.4974947782773578,0.238675621129109,0.5055574286607822,0.43292239919474335,0.6227862731088463,0.6072174978620701,0.866427360846846,0.2071711118826619,0.3704855295652535,0.626728614003515,0.6401018037805701,0.6784984730471905,0.9400666977708292,0.9388349041458
Mouse|typeII,0.20331006688099879,0.576562975878288,0.23715677819165387,0.3009770091647968,0.4304614095926581,0.7378210761253177,0.43044144714421684,0.9534920196641161,0.5681288327145821,0.3639931995979183,0.380642472694913,0.5060315349341082,0.7267385641083102,0.3574448530340386,0.5119493105886834,0.6155635263377885,0.49711391975551034,0.308316069913388,0.5374984895055505,0.3653114444060911,0.6350402592745485,0.5148693481382597,0.5144640461100056,0.5480057587064406,0.5969895877763525,0.6145597936473417,0.6221231435038375,0.6537740004555161,0.6477460185822606,0.5570795827564323,0.5319961222223855
Mouse|typeIII,0.5262272043100462,0.5536085349725751,0.5960385830106643,0.4792932000511658,0.14412571356965734,0.6217710591382521,0.3887768139255582,0.5681288327145821,0.9976520520530819,0.5370903591773579,0.5671970309095331,0.603732608628605,0.6434649822081515,0.5296685651881952,0.639774392137927,0.5436678165160126,0.6320172364852228,0.4576065957025179,0.2919970906894797,0.2939192988059763,0.30778886518343135,0.4598171060336746,0.3571322192506131,0.6310358343134065,0.3586937570993548,0.37268850961536676,0.4896557637256803,0.3759861812373968,0.638563994419106,0.6837923025500166,0.6569543563753653
human|GDT_thymus_c0,0.4984759277650601,0.41149536233501827,0.7135508648853495,0.4892974817414822,0.758870359521106,0.2948838160390537,0.4090806018065193,0.3639931995979183,0.5370903591773579,0.9980347247336103,0.5684001795145095,0.5698574343387965,0.3066064771127717,0.6671484908269449,0.3164925936398695,0.2389830146399732,0.2393309507975822,0.9823531877203932,0.8547159141462599,0.8270321565850436,0.5056325913754447,0.41822574234319193,0.6195462653992287,0.3095663998283591,0.802979863422867,0.4656287584661626,0.23943868488666564,0.3825395725279386,0.14969276137176446,0.22182111651096378,0.24447276473626883
