rank,GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9,GEP10,GEP11,GEP12
187,DDAH2,BIRC2,OXNAD1,BX284668.6,MPPED2,RAB11FIP5,KIAA1147,SESN3,AC093525.7,AP005482.1,RFWD3,LEPROTL1
188,MFSD12,IDUA,AC136475.1,MAP4K1,YWHAQ,KLRC4,DEGS1,DACH1,CDK2AP2,ZNF280D,CDKN3,WTAP
189,UGCG,AC145124.1,JADE2,ZFAS1,TPD52,KIF21A,RPA1,MLEC,EIF4E,ZNF618,HMGB2,AC108863.1
190,PHF10,SREBF1,RPL23,SEPT4,TMEM65,DLG5,GOLGA7,PPTC7,TMCO1,PPP1R14B,SGO2,TUBA1A
191,LBR,CDIP1,NCK2,CSRP1,SEC24D,RAB37,MSI2,BMPR2,YIPF2,NAPA,LMNB2,UBAP1
192,CFL1,AIF1,CHCHD10,MAP3K3,SEC14L6,PAK6,HERC2,TSPAN14,CARM1,DNAJC12,CENPA,ACOT13
193,ARID2,ZNF595,LAMTOR4,PLK3,CPD,RHOQ,DCAF7,IFIT3,G6PC3,KCTD3,ERCC6L,IL10RB.DT
194,ZBTB2,SMARCD3,GPR155,AC103724.4,SYNE2,HLA.DQB1,BAIAP3,MKNK2,BNC2,UBE2J1,KCNJ4,EXOC2
195,RNF145,NA,RPS15A,ACVR1,DUSP16,BTN3A1,MFHAS1,IRF5,SFXN2,RNF150,ERI2,MLF1
196,TNFSF11,NA,ADPRM,TSPO,PTPN13,NCAM1,GPR55,FBXO38,NACC1,SLC35F3,RMI2,RMC1
197,PARD3,NA,CASP8AP2,CHMP4A,SRPRA,ANXA4,NOL11,SKIL,RBMX2,GPR173,TCF19,AC067930.2
198,STMN1,NA,RPL26,TCIRG1,P4HB,APOBEC3C,AC021054.1,PTCHD1,CDCA7,AC008124.1,GJC1,RPS4Y1
199,ELAVL4,NA,CBR3,HSPA8,IGFBP4,PDLIM1,TLE4,TLR5,SERP2,MEST,PTTG1,DYNLT1
200,NIPBL,NA,STX16,NFKBIZ,IL32,ZNF80,FBXL12,PRKAR1A,CD1D,TIMP2,MTHFD1,RGS16
201,PPP1R16B,NA,NAA16,AL365203.2,STOM,PLEKHA1,ZNF618,CPE,FABP5,SERTAD4.AS1,FANCD2,CDKN1B
202,C1QTNF1,NA,RPL24,HIST1H4F,PIK3AP1,CTSW,ESYT2,PCK2,EIF1B,KPTN,DUT,CCDC85C
203,ARHGAP21,NA,HADHA,TPK1,TBC1D31,CYTOR,CCDC69,IL21R,CSNK2B,DYRK3,SH3TC1,BBIP1
204,GATAD2B,NA,RPL10,B3GNT9,LCP1,IGF2R,ZNF683,RETREG1,FBXO15,TRO,CDCA3,ELMO1
205,FCGRT,NA,GYPC,NOD2,S100A4,PYHIN1,HELZ,TSPAN13,PHF19,MAL,SAPCD2,MLX
206,LEF1,NA,NDFIP1,SYF2,LINC00299,ITPRIPL2,ZNF217,VWDE,IREB2,AC136944.2,CDK2,HSPA1B
207,KMT5B,NA,RPL8,CCNL1,GALNT1,RAP1B,FTX,CCND1,SMIM24,NTPCR,TMEM237,MRPS21
208,NA,NA,TMEM123,RNF149,POC1B,ELF4,KDM2B,IKZF2,COL4A3BP,GNA15,PRC1,TINF2
209,NA,NA,TOMM7,LINC00982,RAB18,WIPI1,HMGXB3,PYGB,CHD4,TCF12,SLC1A5,ARHGAP15
210,NA,NA,MBNL1,OR11G2,TMED10,ADAM8,MYO7A,ADAT2,SNRPB2,ZEB1,KIF20B,KCNA3
211,NA,NA,FMN1,CCNH,FBXW5,TM6SF1,HIP1R,CD79A,GCNT4,LINC00426,CENPS,KEL
212,NA,NA,SELENOM,DUSP10,MGAT1,RAB29,FAXDC2,ZCCHC12,ELOVL5,MSRB3,PLK1,GDA
213,NA,NA,RPS29,SREBF2.AS1,KDSR,ARHGEF28,FAM217B,AP1S2,NUTF2,NT5C2,MIS18A,AC114271.1
214,NA,NA,RPS18,IL32,TIPARP,KLRC4.KLRK1,TSPOAP1,FDX1,MEST,SPI1,DTYMK,SYT14
215,NA,NA,SMDT1,SSBP4,GDI1,APOBEC3H,DYSF,TRIM22,NDFIP2,PLPP1,DLEU2,ARHGAP9
216,NA,NA,FGD3,TMEM191B,PIP4K2A,PXN,C17orf97,AHR,TMEM263,IGF1R,KNTC1,ATP5F1A
217,NA,NA,MCUB,UQCRHL,SMKR1,SLC14A1,KCTD1,DACT3,HNRNPA0,TCEAL4,MCM8,HMGN4
218,NA,NA,ATP8B2,TGFB1,DAB2IP,BTN3A2,PRPF38A,NDFIP2,EGR1,ALDH2,DNMT1,PILRB
219,NA,NA,TBC1D4,SBDS,GPR150,TTC22,EHMT1,ITGAE,RGS3,MAFK,UBE2S,TAF1D
220,NA,NA,EPPK1,SH3BGRL3,CNN2,ZBTB20.AS1,ABCA1,CHST2,PPIA,FBRSL1,CCNB1,WASHC2C
221,NA,NA,NT5E,PLCD1,NA,ENC1,TFCP2,IFIT2,KHDRBS3,MED13L,NDC80,MPC2
222,NA,NA,RPL37,LSP1,NA,AC243829.4,MICAL1,CCR4,ATP5PF,ZEB1.AS1,CDCA4,HNRNPLL
223,NA,NA,CCNG1,MGST3,NA,GAB3,AC004687.1,ERICD,RMND5A,IL18,IMPA2,RGPD4.AS1
224,NA,NA,ACVR1C,RNF19B,NA,BIN2,P2RX5.TAX1BP3,CPXM1,RANBP1,AL035587.1,MAP3K20,NFKB1
225,NA,NA,ADD3,GLB1,NA,ABHD2,LINC01003,ATXN1,AAMP,MME,TONSL,SASH1
226,NA,NA,AMIGO1,AREG,NA,CLDND2,TRIO,PLSCR1,SLC25A27,ZNF711,SIVA1,AC112491.1
227,NA,NA,RPL23A,NDUFS5,NA,CALHM2,NHLRC2,TAP2,CYSTM1,HLA.DRA,RANBP1,GPR85
228,NA,NA,PRDX6,CSF1,NA,ABI3,CEP68,NT5C3A,CASZ1,ACSF3,TOPBP1,GPM6B
229,NA,NA,RPL34,LINC01943,NA,MYO1G,FAM92A,SAMD9L,CCDC71L,NCBP2,ITGB3BP,NEUROD1
230,NA,NA,EIF1AX,R3HDM4,NA,FOXD1,MSRB2,NINJ1,PRRC2A,FAM45A,SKP2,PHKG1
231,NA,NA,NPAS2,CD200R1,NA,RAP2B,CXCR3,CHST15,PSMB1,DOCK5,ZNF367,AC058791.1
232,NA,NA,LINS1,PARVB,NA,HSPA6,ADSL,PLPP5,EIF6,TST,ZWILCH,SPATA1
233,NA,NA,RPS20,MYADM,NA,GLTP,IRAK4,NRSN2,TPI1,WASF1,MCM7,B3GNT7
234,NA,NA,RPL13A,SF3B5,NA,RALGDS,PIKFYVE,APLP2,HYKK,AC123023.1,TFDP1,AC008686.1
235,NA,NA,DPEP2,CDKN1A,NA,IFNLR1,NPTX2,RNF19A,EGR3,RIMS3,EZH2,TTI2
236,NA,NA,TSHZ2,SNAI1,NA,GEMIN7,AL844908.1,TNK2,ZNF593,FAM3B,SLCO4A1,S100B
237,NA,NA,ZNF101,IL2RA,NA,MMP23B,AP003774.4,LAP3,GTF3A,CD99,TERT,RPS10
238,NA,NA,ATP10A,KLF8,NA,GFI1,INPP5B,SESN1,FHL2,LAMP2,CDC7,TRMO
239,NA,NA,RPL18A,OPTN,NA,LANCL3,SYNC,AC012368.1,EIF5B,MYB,TMPO.AS1,A2M
240,NA,NA,INPP4B,JMJD6,NA,ITGB7,NOL4L,CU638689.5,PTBP1,C4BPB,DNA2,NEDD8
241,NA,NA,MAN1B1.DT,S100A4,NA,PDE4A,ACAA1,ABAT,TMEM70,WDFY3,ALDH7A1,CCDC73
242,NA,NA,CDH23,ANKRD18B,NA,PIK3AP1,FSTL1,GPC3,RAPH1,ZBED3,POLA2,NBDY
243,NA,NA,NSMCE1,CD52,NA,IGFBP7,PGPEP1,ZCCHC2,CCDC171,UBE2E2,MAD2L2,FAM184B
244,NA,NA,CEP68,CTSB,NA,GNG2,METTL3,PRRT3,BCOR,ITSN1,SKA2,HIST1H2AE
245,NA,NA,AL441992.1,HEXA.AS1,NA,STARD3NL,SFXN5,APP,GOLIM4,SCN7A,VRK1,CMC2
246,NA,NA,ATM,CNTNAP1,NA,METTL7A,ITGAD,NFKB1,BANF1,MOB1B,C4orf46,AL035530.2
247,NA,NA,MAP4K2,MAP1LC3B2,NA,CACNA2D2,VAV3,FANK1,PGM2,PCYT1B,GEN1,TMEM120B
248,NA,NA,RPL12,LINC02273,NA,SLAMF7,HACD1,IFIH1,ENO1,CIAO3,CENPE,SIK1B
249,NA,NA,SNRPD2,CREM,NA,TBKBP1,ARID5B,FOXO1,HIVEP2,SNHG7,PPIF,NSUN2
250,NA,NA,SREBF1,PDCD10,NA,PRKCB,ERGIC1,TIFA,COL6A3,HHIP.AS1,HPDL,LINC01709
251,NA,NA,RPS8,DNAJA1,NA,EOMES,PPP4R1,PAK2,ILF2,YWHAE,PAICS,CNBP
252,NA,NA,C14orf132,JUNB,NA,MED15,KLF12,KLF10,SKP1,DGKE,HEMGN,SULT1A3
253,NA,NA,GIMAP1,ARID5B,NA,AKAP13,CLEC4A,TRAF4,CPSF1,CCDC88A,SSRP1,CPEB1
254,NA,NA,EEF1A1,CPNE5,NA,MEGF9,SNAPIN,ABCA13,ORAI2,FOXO6,FABP5,IL5RA
255,NA,NA,RPL41,TMBIM1,NA,GNPTAB,CHD4,TMPRSS6,IL21R,HGF,TUBG1,AC114947.2
256,NA,NA,SARAF,AHR,NA,ARHGAP25,SLC25A36,DRP2,MAP3K20,ZSCAN16.AS1,C1orf112,RTRAF
257,NA,NA,SAMHD1,CCZ1B,NA,NFATC2,CD83,ZNF821,GTPBP4,GLUL,SHMT1,AP001350.1
258,NA,NA,MICU3,HIST1H3A,NA,VCL,OCEL1,SP110,PSME3,IGF2R,WDR62,KHNYN
259,NA,NA,RPL36,SMAD5.AS1,NA,TUBB4A,IP6K2,PIGC,PPFIA1,CTNND1,TMPO,STOX2
260,NA,NA,WNT7A,AC004069.1,NA,TRGC1,FAM118A,RELN,STRBP,RUBCNL,MMS22L,NBPF20
261,NA,NA,CCND3,C1orf162,NA,ERBB2,SRPK2,RAB31,SSSCA1,PHF7,FANCG,AC009133.1
262,NA,NA,EIF4B,C3orf14,NA,MSC.AS1,ZNF512,IFI44,DNAJA1,CDK5RAP3,EPB41L2,XRRA1
263,NA,NA,PLEKHB1,AP3M2,NA,ABHD17A,LGALS9,AGTRAP,VEZF1,FRMD4B,ATP2A1.AS1,GTF2E2
264,NA,NA,IRF2BP2,CXCR4,NA,USP24,RXRA,NKD1,SREBF2,PCBP3,RPL39L,MBNL1.AS1
265,NA,NA,TNFRSF10D,SGPP2,NA,APLP2,ACOT2,STAT1,TFRC,SLC35A3,COX8A,AC004832.6
266,NA,NA,DAP3,ELMO1,NA,SPN,SMCO4,TNFAIP8L1,BIK,MIR646HG,C19orf48,C12orf54
267,NA,NA,TPT1,TMEM167B,NA,MATK,METTL7A,PHEX,RRP15,TM7SF3,CDKN2C,GABRA2
268,NA,NA,PFN2,CD82,NA,PPP2R5C,AFF3,CRLF2,PUF60,MYO1A,HIST1H1B,TCF20
269,NA,NA,WWP1,TPPP,NA,SYNGR1,PTEN,NFYB,COX6C,CCDC78,DHCR24,SETSIP
270,NA,NA,UXT,GPR108,NA,VAV3,C11orf95,SDK1,HSPBP1,SOCS7,SNRPD1,ADARB1
271,NA,NA,FLT3LG,CCR4,NA,ACTA2,CRTAM,MAOB,PITPNM2,CAT,FOXRED2,CDR2
272,NA,NA,RPL6,CHCHD3,NA,CHRNE,PPARG,BICDL1,MRTO4,NDUFAF6,DDIAS,WDR33
273,NA,NA,FXYD5,CYB561,NA,UTRN,RIC1,DHRS3,AL590822.2,RBFOX2,UBR7,PCED1B
274,NA,NA,UQCRB,NCOA7,NA,STK10,CDCA7,MARCH3,IFNAR2,LDLRAD4,CENPQ,FAM133A
275,NA,NA,RPL35,OAZ1,NA,STK38,B4GALT6,TNFSF10,IKZF2,DNAH14,PAQR4,LINC02273
276,NA,NA,RAI2,GNAI2,NA,SBK1,AL137191.1,CDK14,PEAK1,SMO,SLC25A10,AC008894.2
277,NA,NA,EIF3F,NUCB1,NA,AL355581.1,ST8SIA4,STAP1,ARFGAP3,FZD6,SNRPG,SH3BGRL2
278,NA,NA,STYX,BCL3,NA,MRPL10,XPC,AFF3,SLIT1,MED12L,HNRNPAB,AC240274.1
279,NA,NA,GSTM4,MTM1,NA,LINC01504,TNRC6C,FGL2,EDEM1,AC138356.1,NCAPD3,AKAP17A
280,NA,NA,ITK,BLVRA,NA,ARPC2,STAM,MLLT3,DHX9,DNAJC3.DT,AC011447.3,AL031714.1
281,NA,NA,LZTS3,KLF3,NA,HEATR9,PALD1,DDX60,DKC1,MEX3A,CENPO,AL157938.3
282,NA,NA,RPL37A,RPL36A,NA,MYO1F,PADI4,KCNK5,PTPN11,FAM241A,H2AFX,NA
283,NA,NA,SERINC5,HIST1H1E,NA,PHLDB2,PLCH2,AGO2,ERICD,INTS13,NSD2,NA
284,NA,NA,PHF1,SERTAD3,NA,CLIC1,AC008035.1,CREB3L2,VAMP1,NYNRIN,NUDT1,NA
285,NA,NA,ASB13,ATP5PD,NA,PLEKHG3,SNAP23,BATF,RAB8B,ANTXR1,SNRPB,NA
286,NA,NA,RIC3,CFAP36,NA,MTPN,ZSCAN29,OXER1,PRKCH,DSG2,SLC1A4,NA
287,NA,NA,CPAMD8,PHTF2,NA,HPS3,SELENOP,DLD,STIP1,PIGM,ZGRF1,NA
288,NA,NA,NSA2,NFKBIA,NA,TGFBR1,CASD1,PSD,AKR1A1,CACNB3,EME1,NA
289,NA,NA,SVIP,SIRT2,NA,FLNA,SLC29A4,CTTNBP2NL,LINC00632,MTHFD2L,AFMID,NA
290,NA,NA,EEA1,TSC22D3,NA,NFIL3,RPIA,CD4,ITM2C,UBR5.AS1,ATP23,NA
291,NA,NA,SRSF8,AIP,NA,TSEN54,LINC02312,BAZ2B,AC093525.6,AF064858.1,SMPD3,NA
292,NA,NA,RPL36AL,TMC6,NA,RUNX3,NPEPPS,SREBF2,EIF3I,MRVI1,SLC16A1,NA
293,NA,NA,ZNF609,TYMP,NA,ADCY7,HECTD4,BCL11A,AL162231.1,TLX2,SUPT16H,NA
294,NA,NA,LDOC1,SMN1,NA,CARMIL3,SLFN5,SFMBT2,CD27,UHRF1,GINS3,NA
295,NA,NA,C12orf57,CGAS,NA,GZMA,MERTK,SGPP1,SQLE,RND2,PRKDC,NA
296,NA,NA,ZC3HAV1,ATP2B1,NA,MAST3,CASP2,WDFY1,MEF2D,ABCA1,LIG1,NA
297,NA,NA,RASSF3,AC025171.3,NA,LBX2.AS1,NDFIP2,NMI,GLA,ITPR2,NME1,NA
298,NA,NA,RNF216,AC068313.1,NA,SYTL3,TMEM43,SYNGR2,MIB1,IGF2BP2,JPT2,NA
299,NA,NA,RPS9,GAPDH,NA,TLN1,RIT1,CMTM7,CCT5,AP005482.2,CNTLN,NA
300,NA,NA,OR4D1,SUB1,NA,RABGAP1L,AC069200.1,IGFLR1,STK38L,AP003086.1,NRGN,NA
301,NA,NA,YBX1,BSG,NA,SLFN13,IFT80,YAF2,SNF8,ARHGAP39,LRRCC1,NA
302,NA,NA,ISG20,ARHGDIA,NA,UHMK1,SLC2A6,MAP1LC3A,HSP90AB1,KLLN,SPDL1,NA
303,NA,NA,CD48,PER1,NA,HOTAIRM1,PABPN1,SP100,RAD23B,FAM229B,SAC3D1,NA
304,NA,NA,CCDC66,AL512791.2,NA,RHOB,EDEM1,TNFRSF14,MYO9A,KDELR3,MSH6,NA
305,NA,NA,BCAS4,ACSL6,NA,SLC4A7,RAPGEF4,ZC2HC1A,ARL3,SSBP2,CEP152,NA
306,NA,NA,NAIP,SNHG22,NA,PTCH1,ZNF853,IL1RN,DDB1,TMCC1.AS1,CENPJ,NA
307,NA,NA,ERP29,C17orf49,NA,PTPRE,TOX,RELB,GSE1,EFNB2,CCNE1,NA
308,NA,NA,SORL1,AC073610.3,NA,CD320,PHF23,VASH1,BOP1,TXN,GPANK1,NA
309,NA,NA,RPL29,HIST4H4,NA,ZNF683,LASP1,IFNAR2,TRAF4,TCF7L2,NRM,NA
310,NA,NA,AES,PRKCSH,NA,HENMT1,CARNS1,PIM2,SRP54,ERV3.1,PRDX3,NA
311,NA,NA,TXLNG,EDARADD,NA,CEBPA,AL358781.1,CMPK2,ANP32E,EGLN3,CTPS1,NA
312,NA,NA,ARHGAP5,EIF5A,NA,RHOC,SPINT2,MREG,EEF1AKMT4,NR3C1,CDC25C,NA
313,NA,NA,MTRNR2L8,KLF2,NA,CPNE8,DCUN1D1,RGS1,SIAH2,AL135925.1,HAUS1,NA
314,NA,NA,FAM153C,GALT,NA,TPP1,KCNMB3,GSTA4,CYP2U1,INSR,MYO1B,NA
315,NA,NA,SNHG25,AC004832.6,NA,PSMB9,EFCAB5,CD164,PSMA7,PSAP,SNRPF,NA
316,NA,NA,EPB41,SLC40A1,NA,PTMS,MED20,TRAFD1,RUNX1,DAPK1,C9orf40,NA
317,NA,NA,HABP4,CASP4,NA,FASLG,UBE2E1,TYMP,BZW2,MTIF3,RCC1,NA
318,NA,NA,SKI,H3F3C,NA,SESN2,NLK,GRK3,RELB,USP43,DPYSL2,NA
319,NA,NA,PCGF5,CYTOR,NA,ZNF319,SPTLC2,C4orf48,MTA3,AC027682.4,UNG,NA
320,NA,NA,GPR160,PROCA1,NA,DHRS7,NAA40,IFI35,RIOK1,ANKRD36C,FADS1,NA
321,NA,NA,PIK3IP1.AS1,CREBL2,NA,CASP8,DTWD2,DNAAF4,OPA1,ZNF112,HADH,NA
322,NA,NA,TMEM30B,AIDA,NA,NFATC3,OLMALINC,SLC50A1,ELOB,SLC25A36,POLE3,NA
323,NA,NA,CREG1,GPR146,NA,PAXX,TRIP12,CHRNA6,RTKN2,PTGES3L,RFC2,NA
324,NA,NA,MAL,ARX,NA,AL158071.2,NUPL2,PLEKHM3,APH1B,ZNF768,RAD51C,NA
325,NA,NA,RPS19,NA,NA,SOX13,TRIB2,PIM3,LIMS1,MGST2,TCEAL9,NA
326,NA,NA,LRCH4,NA,NA,PTPN4,NCKAP1L,SLC5A3,DLG1,GPSM1,CDK4,NA
327,NA,NA,PRMT2,NA,NA,LINC02084,HSPA1A,FAM234A,ANKIB1,PAWR,RACGAP1,NA
328,NA,NA,TMEM204,NA,NA,C16orf45,SRSF9,WSB1,STARD4,USP40,MTFR2,NA
329,NA,NA,EIF2A,NA,NA,SMAD7,TAPT1,MBTPS2,MAP2,CCDC14,ATAD3A,NA
330,NA,NA,SFMBT1,NA,NA,NA,ISCA2,CARM1,THOC1,DYNC2LI1,CSE1L,NA
331,NA,NA,NSD3,NA,NA,NA,DCAF12,F5,KIAA1324,MIR181A2HG,UQCRQ,NA
332,NA,NA,SORBS3,NA,NA,NA,CTPS2,KCNQ5,CYB5A,AC083798.2,NCAPD2,NA
333,NA,NA,RASA4,NA,NA,NA,NR2C1,KAT6B,DPF2,ZNF785,SNRPC,NA
334,NA,NA,TRAP1,NA,NA,NA,DELE1,TNFRSF11A,SLTM,UTP3,SNHG19,NA
335,NA,NA,TECR,NA,NA,NA,WDR11,ATN1,NOLC1,NUDT11,LSM4,NA
336,NA,NA,LINC01215,NA,NA,NA,NA,ARL6IP5,SNRPG,ZNF471,POLR3K,NA
337,NA,NA,NR3C2,NA,NA,NA,NA,ABCB10,ELAVL1,ITGA7,DLEU7,NA
338,NA,NA,ACSM3,NA,NA,NA,NA,PSMB8,YBX1,MPHOSPH9,DEK,NA
339,NA,NA,MPHOSPH8,NA,NA,NA,NA,TIGD2,PEBP1,LRRC61,PRIM1,NA
340,NA,NA,NBL1,NA,NA,NA,NA,HACD1,CCSAP,ESD,ANP32E,NA
341,NA,NA,EIF2D,NA,NA,NA,NA,SNRNP35,MIR181A1HG,TCFL5,HILPDA,NA
342,NA,NA,KANK1,NA,NA,NA,NA,GRSF1,CXCL8,GNB4,TTF1,NA
343,NA,NA,CENPK,NA,NA,NA,NA,ECE1,MTCL1,TP53I3,SLIRP,NA
344,NA,NA,CA5B,NA,NA,NA,NA,HELZ2,GBA2,BSPRY,TMEM106C,NA
345,NA,NA,CSDE1,NA,NA,NA,NA,POU2F2,SEPHS2,TASP1,LRRC59,NA
346,NA,NA,HSPA8,NA,NA,NA,NA,GLCCI1,RB1,ENOSF1,MIS18BP1,NA
347,NA,NA,FXN,NA,NA,NA,NA,CSMD1,TTL,EMILIN2,XRCC3,NA
348,NA,NA,C19orf53,NA,NA,NA,NA,GSDME,MTCH2,ENDOV,GGCT,NA
349,NA,NA,ATP6V1G1,NA,NA,NA,NA,HAPLN3,ETF1,BAZ2B,MRPL27,NA
350,NA,NA,COX7C,NA,NA,NA,NA,CHRM3.AS2,SHMT2,VCAN,AC130324.3,NA
351,NA,NA,SHISAL2A,NA,NA,NA,NA,TMEM120A,TMEM216,CIITA,FADS2,NA
352,NA,NA,KLHL36,NA,NA,NA,NA,GNA14,HNRNPAB,DAB2,LRRC20,NA
353,NA,NA,TRIB2,NA,NA,NA,NA,SLC35B2,PSMD8,CSMD1,SLBP,NA
354,NA,NA,EIF3G,NA,NA,NA,NA,SLC31A1,HHIP.AS1,LINC01089,LSM3,NA
355,NA,NA,NA,NA,NA,NA,NA,MAN1C1,SRSF10,RHPN1,RAN,NA
356,NA,NA,NA,NA,NA,NA,NA,LY6E,CPM,LINC01215,PDSS1,NA
357,NA,NA,NA,NA,NA,NA,NA,DGUOK.AS1,TOX,MELTF,NASP,NA
358,NA,NA,NA,NA,NA,NA,NA,STAM2,LTV1,CHD1,SLC43A3,NA
359,NA,NA,NA,NA,NA,NA,NA,ZBTB7B,NUDC,AC004846.1,CCDC150,NA
360,NA,NA,NA,NA,NA,NA,NA,RANGAP1,MRPL47,HOXA5,GNA15,NA
361,NA,NA,NA,NA,NA,NA,NA,IGFBP2,PHF6,RAB13,DDX11,NA
362,NA,NA,NA,NA,NA,NA,NA,HES1,TMEM234,PBLD,MASTL,NA
363,NA,NA,NA,NA,NA,NA,NA,MTHFD1L,VAT1,RBM33,MELTF,NA
364,NA,NA,NA,NA,NA,NA,NA,IL6ST,EXOC4,SNHG19,TACC3,NA
365,NA,NA,NA,NA,NA,NA,NA,RASAL1,CHKA,HEMK1,H2AFV,NA
366,NA,NA,NA,NA,NA,NA,NA,AC124944.1,DDX39A,SHQ1,ERH,NA
367,NA,NA,NA,NA,NA,NA,NA,NFKBIE,ATP2A2,PTK7,PSMB2,NA
368,NA,NA,NA,NA,NA,NA,NA,PLAGL2,SCML2,AP001318.2,CKAP5,NA
369,NA,NA,NA,NA,NA,NA,NA,TP53INP1,AC129492.1,ZNF436.AS1,KANK2,NA
370,NA,NA,NA,NA,NA,NA,NA,FAM174B,ACSL4,TRIP6,ENY2,NA
371,NA,NA,NA,NA,NA,NA,NA,KLHL15,ARMCX6,GRSF1,HAT1,NA
372,NA,NA,NA,NA,NA,NA,NA,IL1RL1,PGK1,NA,CCDC167,NA
373,NA,NA,NA,NA,NA,NA,NA,YPEL2,AFTPH,NA,CORO1C,NA
374,NA,NA,NA,NA,NA,NA,NA,AC100810.1,DBI,NA,CIB2,NA
375,NA,NA,NA,NA,NA,NA,NA,ENO1,IRAK1,NA,TEX30,NA
376,NA,NA,NA,NA,NA,NA,NA,SELENON,INAFM2,NA,IQGAP3,NA
377,NA,NA,NA,NA,NA,NA,NA,TNFRSF10A,COPB2,NA,CARHSP1,NA
378,NA,NA,NA,NA,NA,NA,NA,TRAF2,SPCS2,NA,FANCL,NA
379,NA,NA,NA,NA,NA,NA,NA,TXNDC11,ORMDL2,NA,TUBA1C,NA
380,NA,NA,NA,NA,NA,NA,NA,ATP11A,WDR36,NA,NOP56,NA
381,NA,NA,NA,NA,NA,NA,NA,TNIP1,NA,NA,KHDC1,NA
382,NA,NA,NA,NA,NA,NA,NA,ARID4B,NA,NA,PRPF19,NA
383,NA,NA,NA,NA,NA,NA,NA,CCNG2,NA,NA,SUV39H1,NA
384,NA,NA,NA,NA,NA,NA,NA,CLIC4,NA,NA,CBX2,NA
385,NA,NA,NA,NA,NA,NA,NA,GOLIM4,NA,NA,NET1,NA
386,NA,NA,NA,NA,NA,NA,NA,EML3,NA,NA,STRIP2,NA
387,NA,NA,NA,NA,NA,NA,NA,SRGAP3,NA,NA,AL035461.2,NA
388,NA,NA,NA,NA,NA,NA,NA,RDX,NA,NA,DCTPP1,NA
389,NA,NA,NA,NA,NA,NA,NA,SHMT2,NA,NA,MLH1,NA
390,NA,NA,NA,NA,NA,NA,NA,TNK2.AS1,NA,NA,THOC3,NA
391,NA,NA,NA,NA,NA,NA,NA,VEGFA,NA,NA,MXD3,NA
392,NA,NA,NA,NA,NA,NA,NA,KCTD21,NA,NA,NUDT15,NA
393,NA,NA,NA,NA,NA,NA,NA,TET3,NA,NA,YEATS4,NA
394,NA,NA,NA,NA,NA,NA,NA,TESPA1,NA,NA,MRPL37,NA
395,NA,NA,NA,NA,NA,NA,NA,PAOX,NA,NA,ACTL6A,NA
396,NA,NA,NA,NA,NA,NA,NA,ENOX2,NA,NA,RPL26L1,NA
397,NA,NA,NA,NA,NA,NA,NA,RRBP1,NA,NA,LRR1,NA
398,NA,NA,NA,NA,NA,NA,NA,PLEKHF2,NA,NA,C17orf53,NA
399,NA,NA,NA,NA,NA,NA,NA,JAK3,NA,NA,NUP62,NA
400,NA,NA,NA,NA,NA,NA,NA,SH3RF3,NA,NA,FANCA,NA
401,NA,NA,NA,NA,NA,NA,NA,SERTAD2,NA,NA,NUDT21,NA
402,NA,NA,NA,NA,NA,NA,NA,CAMK2D,NA,NA,LIN9,NA
403,NA,NA,NA,NA,NA,NA,NA,STAT3,NA,NA,TTF2,NA
404,NA,NA,NA,NA,NA,NA,NA,ZNF791,NA,NA,CENPP,NA
405,NA,NA,NA,NA,NA,NA,NA,C21orf91,NA,NA,PAXIP1,NA
406,NA,NA,NA,NA,NA,NA,NA,P2RX5.TAX1BP3,NA,NA,SPA17,NA
407,NA,NA,NA,NA,NA,NA,NA,PARK7,NA,NA,LSM5,NA
408,NA,NA,NA,NA,NA,NA,NA,SMIM4,NA,NA,TXN,NA
409,NA,NA,NA,NA,NA,NA,NA,UBIAD1,NA,NA,HPRT1,NA
410,NA,NA,NA,NA,NA,NA,NA,STAT2,NA,NA,DAZAP1,NA
411,NA,NA,NA,NA,NA,NA,NA,CENPE,NA,NA,EXOSC9,NA
412,NA,NA,NA,NA,NA,NA,NA,PARP14,NA,NA,U62317.2,NA
413,NA,NA,NA,NA,NA,NA,NA,KLHL6,NA,NA,COPRS,NA
414,NA,NA,NA,NA,NA,NA,NA,CLDN16,NA,NA,NANP,NA
415,NA,NA,NA,NA,NA,NA,NA,ZMIZ2,NA,NA,CHTF18,NA
416,NA,NA,NA,NA,NA,NA,NA,ADRB1,NA,NA,SASS6,NA
417,NA,NA,NA,NA,NA,NA,NA,CD82,NA,NA,HIST1H3B,NA
418,NA,NA,NA,NA,NA,NA,NA,CDKAL1,NA,NA,ARNTL2,NA
419,NA,NA,NA,NA,NA,NA,NA,DCAF11,NA,NA,ZNF726,NA
420,NA,NA,NA,NA,NA,NA,NA,PARP9,NA,NA,VDAC1,NA
421,NA,NA,NA,NA,NA,NA,NA,ETF1,NA,NA,RAD18,NA
422,NA,NA,NA,NA,NA,NA,NA,TBL1X,NA,NA,HASPIN,NA
423,NA,NA,NA,NA,NA,NA,NA,ZNF844,NA,NA,EIF4A3,NA
424,NA,NA,NA,NA,NA,NA,NA,CDC40,NA,NA,FIGNL1,NA
425,NA,NA,NA,NA,NA,NA,NA,PHF11,NA,NA,BAZ1B,NA
426,NA,NA,NA,NA,NA,NA,NA,CNN3,NA,NA,NUP58,NA
